ID,Text,Date,Amount,From Account,To Account
1,Salary,2025-06-30,3500.00,DE1234567890,DE0987654321
2,Groceries,2025-06-28,-120.45,DE0987654321,DE1122334455
3,Electricity Bill,2025-06-25,-60.00,DE0987654321,DE5566778899
4,Transfer to Savings,2025-06-20,-500.00,DE0987654321,DE2233445566
5,Restaurant,2025-06-18,-45.90,DE0987654321,DE6677889900
6,Refund,2025-06-15,30.00,DE5544332211,DE0987654321
7,Internet Subscription,2025-06-10,-39.99,DE0987654321,DE3344556677
8,Book Purchase,2025-06-08,-15.50,DE0987654321,DE7788990011
9,ATM Withdrawal,2025-06-05,-200.00,DE0987654321,Cash
10,Interest,2025-06-01,2.50,DE2233445566,DE0987654321
11,Online Shopping,2025-05-29,-89.99,DE0987654321,DE9988776655
12,Dividend,2025-05-25,15.00,DE3344556677,DE0987654321
13,Mobile Top-up,2025-05-22,-20.00,DE0987654321,DE4455667788
14,Car Payment,2025-05-20,-250.00,DE0987654321,DE5566778899
15,Gift Received,2025-05-15,100.00,DE6677889900,DE0987654321
16,Pharmacy,2025-05-12,-23.75,DE0987654321,DE8899001122
17,Loan Payment,2025-05-10,-300.00,DE0987654321,DE3344556677
18,Tax Refund,2025-05-08,250.00,DE4455667788,DE0987654321
19,Subscription Service,2025-05-05,-12.99,DE0987654321,DE5566778899
20,Charity Donation,2025-05-03,-50.00,DE0987654321,DE9900112233
21,Child Allowance,2025-05-01,200.00,DE2233445566,DE0987654321
22,Parking Fee,2025-04-29,-5.00,DE0987654321,DE1122334455
23,Travel Reimbursement,2025-04-27,120.00,DE7788990011,DE0987654321
24,Home Insurance,2025-04-25,-80.00,DE0987654321,DE3344556677
25,Lottery Win,2025-04-20,500.00,DE5566778899,DE0987654321
